tweet_text,cyberbullying_type
@gcarothers eek. i can't stand split keyboards. doesn't work well with MMOs.,not_cyberbullying
@MaxBlumenthal @cpassevant @anadumitrescu13 Post-Hebdo? LOL. Events like it are a daily occurrence around the world. Why isolate one.,not_cyberbullying
You know there are people out there who like @joeyBADASS_ but don't listen to old school.,not_cyberbullying
@Firebomb173 @ANDAASONSAN not the first time it's happened. That was probably the worst though.,not_cyberbullying
@KamilaaRudenko how are u ?,not_cyberbullying
"The contact form on the site was bugged. Turns out that if you use a ']' in the email subject prefix, it breaks everything. silly wordpress.",not_cyberbullying
"The thing about Uber is, even if it wasn't a horrible, sexist, shitty company, I would still be against it.",not_cyberbullying
I think @bxokrissy third period teacher doesn't like me he always tells me to go to class when I walk u to class,not_cyberbullying
@andythewookie1 what's that quote about jacking off with one hand and pointing with the other?,not_cyberbullying
"I hope this round humbled the girls, they can't cook #MKR",not_cyberbullying
@MelissaRyan Look at what DC Public Schools are doing for bullying LGBT students now that @m_rhee is gone. http://t.co/ZegLmS7,not_cyberbullying
Really miss my classmates n schoolmates. See you all soon people,not_cyberbullying
Fuck. #MKR,not_cyberbullying
#mkr Promo girls are going to BRING IT in the next round. Yeah! Bring it! Bring your store bought capsicums!,not_cyberbullying
Hey Ma in the orange skirt,not_cyberbullying
Fuck this paper bullshit,not_cyberbullying
Elephants??? Direct them to #cuntandandre,not_cyberbullying
Film ini salah satu potret bullying dikalangan anak2 #mynameiskhan,not_cyberbullying
#NowWatching a Charlie Brown Thanksgiving #classic,not_cyberbullying
Let's talk about what it means to be a victim. http://t.co/FInA7zfTTT,not_cyberbullying
"@MileyCyrus @JuliaAllynn no, you are ahhhhhmazing! &lt;3",not_cyberbullying
"@janaane poise, odiei aquilo ele sofria bullying de meninas porisso matou muitas meninas, mais mesmo assim aquelas crianças nao tinham culpa",not_cyberbullying
no one ever help.me like my bully @AlwaysVero_ did /:,not_cyberbullying
"@Giia_marengo le hace bulling a @Karol__Dance por que se ""gana"" en todos lados jajajaj y dice que los washiturros NO son flaites jajaj WENA",not_cyberbullying
#Kerala RTE will lead to shutting down of 'Badal' schools in backward areas &amp; parents will mostly not allow them to join far away schools.,not_cyberbullying
"If you are feeling perturbed about women that aren't humble, kindly go set yourself on fire.",not_cyberbullying
You look like a gypsy. Sorry I'm not sorry.,not_cyberbullying
"Oh hey, you should be ashamed of your disgusting self. @TheMajesticPlum http://t.co/B4obsliTUg",not_cyberbullying
BULLSHIT!!!! #MKR #MKR2015,not_cyberbullying
"@hayhenning good news, if i ever have a problem with a big mean bully, i know who to call!",not_cyberbullying
I'm done - won't bother with the rest of this pathetic shit show #mkr,not_cyberbullying
"@GlennF @Spacekatgal it is rather funny how all of us are so completely different, yet complement each other's skill sets so well.",not_cyberbullying
"@sbrew11 If you hadn't noticed, I save my witty replies for sexists with a little more panache. I don't want to get above your reading level",not_cyberbullying
"@nader_haq @MadDr11 Yeap, breeding and violence are the only thing they do well.",not_cyberbullying
@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime A. I don't have a faith. B. Your tweet is incoherent.,not_cyberbullying
Lil bro @Mackmanee_15 was on the bully last night,not_cyberbullying
@Bahai144 ROFLMAO.  So all this time I've been trying to squeeze logic out of a religious nut that is as crazy as ISIS.,not_cyberbullying
"@jaredchase i kept being the last person alive AND topping damage. it's like, what. this isn't hard.",not_cyberbullying
Follow News Reports Of #BrandonMcInerney Shooting Death Of #LarryKing Trial http://t.co/WgrutwF #Gay #GLBT #LGBT #Bullying #Murder,not_cyberbullying
"@CarSalesBossMan Unlike men, who can't fix cars because they can't fit their giant fucking swelled heads under them.",not_cyberbullying
RT @Hanar_Marouf: Daesh is distrbuting Stolen U.N. Humanitarian Aid W/ Its Own Logo!! #Iraq #twitterkurds http://t.co/kSkGLrh1jt http://t.c…,not_cyberbullying
@TURBOCUNT i have no idea what red bean tastes like. i'm assuming it tastes like beans? i'm not really down with beans.,not_cyberbullying
Wait so are we voting again when we come back to school ?,not_cyberbullying
The worst hoe is a hoe who can't admit she was a hoe.!,not_cyberbullying
"RT @srhbutts: CEO of sony europe vehemently, unequivocally condemns #gamergate as misogynistic harassment. http://t.co/0M07MuT5AY",not_cyberbullying
even alle bully beatdown afleveringen gedownload van season 1 en 2 :),not_cyberbullying
"How can you sleep with make-up? Like ew, your skin will be so oily the next day.",not_cyberbullying
freaky ass ready ass hoes,not_cyberbullying
@jukes303 The old oil cliche again. The US pays for every drop of oil they get from the ME on the open market just like every other country.,not_cyberbullying
Is Colin hot? #MKR,not_cyberbullying
aposto que vou sofrer bullying depois do meu próximo tweet,not_cyberbullying
RT @BliggiVee: Round and round we go where it stops nobody knows. How much more will this drag on?!? #MKR,not_cyberbullying
First social test of the year...,not_cyberbullying
@iMrBarfield it starts Thursday. My classes are canceled for tomorrow tho😌.,not_cyberbullying
Me my self and I,not_cyberbullying
"The only thing Facebook does well, is cause shit and promote cyber bullying.",not_cyberbullying
Frio é bullying contra os solteiros..,not_cyberbullying
› Meninos do Tumblr são assim: › › Meninas do Tumblr são assim: › › E eu sou assim: › › Isso é bullying. http://t.co/dr0Yql4,not_cyberbullying
"@AMohedin Even Pickthall, who is an Englishman, was a Muslim convert.",not_cyberbullying
@daimau5 Your boy gianluca toni was class another big 6ft 5 lunk,not_cyberbullying
"Mum; You need a college bad not a handbag. Me; But mommmmmmm, it's phinkkk :&lt;",not_cyberbullying
"serio, falsidade é bullying",not_cyberbullying
I really wish i could graduate already and go to college to get away from my siblings.... Sick of all of this!!!!!!!,not_cyberbullying
I knew Nikki reminded me of someone. #mkr http://t.co/yWjMAyphJm,not_cyberbullying
Best Bully Sticks Spotlight on a Breed: We Honor Maddie the American Eskimo: We always love getting emails from ... http://bit.ly/rlUS4m,not_cyberbullying
COLÉGIOS ADVENTISTAS DE SÃO PAULO DISCUTEM O BULLYING - BOM DIA SÃO PAULO http://t.co/YyfPou0,not_cyberbullying
pratico bullying para ser aceito socialmente,not_cyberbullying
@Kaya786 @fai3an_H And I don't walk in circles around a black meteor in Mecca under the delusion that it will please god.,not_cyberbullying
@RealandIllusory = ranting idiot.,not_cyberbullying
"@AAlwuhaib1977 I know hundreds of Christians, but not a single one that fits the discription.",not_cyberbullying
She a pussy Hoe till I get the Pussy HOE!,not_cyberbullying
"@diandrasallini Claro que nao, mas ela pode falar kkkkkkk, agora tudo é bullying kkk",not_cyberbullying
"RT @Emoroffle: @freebsdgirl Gotta love that ""We determine the good feminists, and it's men"" mentality that GG has. Zero self-awareness.",not_cyberbullying
