Invoice ID,Branch,City,Customer type,Gender,Product line, Unit price ,Quantity, cogs ,Tax 5%, Total ,Date,Time,Payment,gross margin percentage,gross income,Rating,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
588-47-8641,Central Area,Abuja,Member,Male,Fashion accessories, ?56.04 ,10.0, ?560.40 ,28.02, ?588.42 ,1/14/2019,19:30,Ewallet,4.761904762,28.02,4.4,,,,,,,,
299-46-1805,Bodija,Ibadan,Member,Female,Sports and travel, ?93.72 ,6.0, ?562.32 ,28.116, ?590.44 ,1/15/2019,16:19,Cash,4.761904762,28.116,4.5,,,,,,,,
272-65-1806,Central Area,Abuja,Normal,Female,Electronic accessories, ?60.88 ,9.0, ?547.92 ,27.396, ?575.32 ,1/15/2019,17:17,Ewallet,4.761904762,27.396,4.7,,,,,,,,
138-17-5109,Central Area,Abuja,Member,Female,Home and lifestyle, ?89.21 ,9.0, ?802.89 ,40.1445, ?843.03 ,1/15/2019,15:42,Credit card,4.761904762,40.1445,6.5,,,,,,,,
188-55-0967,Bodija,Ibadan,Member,Male,Health and beauty, ?66.47 ,10.0, ?664.70 ,33.235, ?697.94 ,1/15/2019,15:01,Credit card,4.761904762,33.235,5.0,,,,,,,,
314-23-4520,Lekki,Lagos,Member,Male,Health and beauty, ?81.23 ,7.0, ?568.61 ,28.4305, ?597.04 ,1/15/2019,20:44,Cash,4.761904762,28.4305,9.0,,,,,,,,
744-16-7898,Bodija,Ibadan,Normal,Female,Home and lifestyle, ?97.37 ,10.0, ?973.70 ,48.685," ?1,022.39 ",1/15/2019,13:48,Credit card,4.761904762,48.685,4.9,,,,,,,,
660-29-7083,Lekki,Lagos,Normal,Male,Electronic accessories, ?55.87 ,10.0, ?558.70 ,27.935, ?586.64 ,1/15/2019,15:01,Cash,4.761904762,27.935,5.8,,,,,,,,
234-65-2137,Lekki,Lagos,Normal,Male,Home and lifestyle, ?95.58 ,10.0, ?955.80 ,47.79," ?1,003.59 ",1/16/2019,13:32,Cash,4.761904762,47.79,4.8,,,,,,,,
677-11-0152,Lekki,Lagos,Normal,Female,Food and beverages, ?93.26 ,9.0, ?839.34 ,41.967, ?881.31 ,1/16/2019,18:08,Cash,4.761904762,41.967,8.8,,,,,,,,
347-72-6115,Bodija,Ibadan,Member,Female,Sports and travel, ?90.74 ,7.0, ?635.18 ,31.759, ?666.94 ,1/16/2019,18:03,Credit card,4.761904762,31.759,6.2,,,,,,,,
648-83-1321,Central Area,Abuja,Member,Male,Home and lifestyle, ?63.56 ,10.0, ?635.60 ,31.78, ?667.38 ,1/16/2019,17:59,Cash,4.761904762,31.78,4.3,,,,,,,,
698-98-5964,Central Area,Abuja,Normal,Female,Food and beverages, ?81.21 ,10.0, ?812.10 ,40.605, ?852.71 ,1/17/2019,13:01,Credit card,4.761904762,40.605,6.3,,,,,,,,
670-79-6321,Bodija,Ibadan,Member,Female,Home and lifestyle, ?94.59 ,7.0, ?662.13 ,33.1065, ?695.24 ,1/17/2019,15:27,Credit card,4.761904762,33.1065,4.9,,,,,,,,
678-79-0726,Lekki,Lagos,Member,Female,Sports and travel, ?90.63 ,9.0, ?815.67 ,40.7835, ?856.45 ,1/18/2019,15:28,Cash,4.761904762,40.7835,5.1,,,,,,,,
166-19-2553,Central Area,Abuja,Member,Male,Sports and travel, ?89.06 ,6.0, ?534.36 ,26.718, ?561.08 ,1/18/2019,17:26,Cash,4.761904762,26.718,9.9,,,,,,,,
645-44-1170,Central Area,Abuja,Member,Male,Home and lifestyle, ?58.07 ,9.0, ?522.63 ,26.1315, ?548.76 ,1/19/2019,20:07,Ewallet,4.761904762,26.1315,4.3,,,,,,,,
149-61-1929,Central Area,Abuja,Normal,Male,Sports and travel, ?64.19 ,10.0, ?641.90 ,32.095, ?674.00 ,1/19/2019,14:08,Credit card,4.761904762,32.095,6.7,,,,,,,,
125-45-2293,Central Area,Abuja,Normal,Female,Fashion accessories, ?99.10 ,6.0, ?594.60 ,29.73, ?624.33 ,1/19/2019,13:11,Cash,4.761904762,29.73,4.2,,,,,,,,
817-48-8732,Central Area,Abuja,Member,Female,Home and lifestyle, ?72.35 ,10.0, ?723.50 ,36.175, ?759.68 ,1/20/2019,15:55,Cash,4.761904762,36.175,5.4,,,,,,,,
725-96-3778,Lekki,Lagos,Member,Female,Home and lifestyle, ?89.25 ,8.0, ?714.00 ,35.7, ?749.70 ,1/20/2019,10:13,Cash,4.761904762,35.7,4.7,,,,,,,,
410-67-1709,Central Area,Abuja,Member,Female,Fashion accessories, ?63.88 ,8.0, ?511.04 ,25.552, ?536.59 ,1/20/2019,17:48,Ewallet,4.761904762,25.552,9.9,,,,,,,,
870-72-4431,Lekki,Lagos,Normal,Female,Health and beauty, ?99.19 ,6.0, ?595.14 ,29.757, ?624.90 ,1/21/2019,14:42,Credit card,4.761904762,29.757,5.5,,,,,,,,
287-21-9091,Central Area,Abuja,Normal,Male,Home and lifestyle, ?74.67 ,9.0, ?672.03 ,33.6015, ?705.63 ,1/22/2019,10:55,Ewallet,4.761904762,33.6015,9.4,,,,,,,,
731-81-9469,Lekki,Lagos,Member,Female,Sports and travel, ?89.80 ,10.0, ?898.00 ,44.9, ?942.90 ,1/23/2019,13:00,Credit card,4.761904762,44.9,5.4,,,,,,,,
767-05-1286,Lekki,Lagos,Member,Female,Home and lifestyle, ?83.77 ,6.0, ?502.62 ,25.131, ?527.75 ,1/23/2019,12:10,Ewallet,4.761904762,25.131,5.4,,,,,,,,
828-46-6863,Central Area,Abuja,Member,Male,Food and beverages, ?98.53 ,6.0, ?591.18 ,29.559, ?620.74 ,1/23/2019,11:22,Credit card,4.761904762,29.559,4.0,,,,,,,,
160-22-2687,Central Area,Abuja,Member,Female,Health and beauty, ?95.95 ,5.0, ?479.75 ,23.9875, ?503.74 ,1/23/2019,14:21,Ewallet,4.761904762,23.9875,8.8,,,,,,,,
148-41-7930,Lekki,Lagos,Normal,Male,Health and beauty, ?99.96 ,7.0, ?699.72 ,34.986, ?734.71 ,1/23/2019,10:33,Cash,4.761904762,34.986,6.1,,,,,,,,
232-11-3025,Central Area,Abuja,Normal,Male,Sports and travel, ?78.77 ,10.0, ?787.70 ,39.385, ?827.09 ,1/24/2019,10:04,Cash,4.761904762,39.385,6.4,,,,,,,,
435-13-4908,Central Area,Abuja,Member,Male,Fashion accessories, ?86.68 ,8.0, ?693.44 ,34.672, ?728.11 ,1/24/2019,18:04,Credit card,4.761904762,34.672,7.2,,,,,,,,
438-23-1242,Bodija,Ibadan,Normal,Male,Electronic accessories, ?75.88 ,7.0, ?531.16 ,26.558, ?557.72 ,1/24/2019,10:38,Ewallet,4.761904762,26.558,8.9,,,,,,,,
602-16-6955,Bodija,Ibadan,Normal,Female,Sports and travel, ?76.60 ,10.0, ?766.00 ,38.3, ?804.30 ,1/24/2019,18:10,Ewallet,4.761904762,38.3,6.0,,,,,,,,
280-17-4359,Lekki,Lagos,Member,Male,Health and beauty, ?90.50 ,10.0, ?905.00 ,45.25, ?950.25 ,1/25/2019,13:48,Cash,4.761904762,45.25,8.1,,,,,,,,
394-55-6384,Lekki,Lagos,Member,Female,Sports and travel, ?70.19 ,9.0, ?631.71 ,31.5855, ?663.30 ,1/25/2019,13:38,Cash,4.761904762,31.5855,6.7,,,,,,,,
836-82-5858,Bodija,Ibadan,Member,Male,Health and beauty, ?69.37 ,9.0, ?624.33 ,31.2165, ?655.55 ,1/26/2019,19:14,Ewallet,4.761904762,31.2165,4.0,,,,,,,,
452-04-8808,Bodija,Ibadan,Normal,Male,Electronic accessories, ?87.08 ,7.0, ?609.56 ,30.478, ?640.04 ,1/26/2019,15:17,Cash,4.761904762,30.478,5.5,,,,,,,,
394-41-0748,Lekki,Lagos,Member,Female,Fashion accessories, ?54.07 ,9.0, ?486.63 ,24.3315, ?510.96 ,1/27/2019,14:55,Ewallet,4.761904762,24.3315,9.5,,,,,,,,
862-59-8517,Lekki,Lagos,Normal,Female,Food and beverages, ?90.24 ,6.0, ?541.44 ,27.072, ?568.51 ,1/27/2019,11:17,Cash,4.761904762,27.072,6.2,,,,,,,,
534-01-4457,Central Area,Abuja,Normal,Male,Food and beverages, ?81.71 ,6.0, ?490.26 ,24.513, ?514.77 ,1/27/2019,14:36,Credit card,4.761904762,24.513,8.0,,,,,,,,
624-01-8356,Bodija,Ibadan,Normal,Female,Home and lifestyle, ?49.01 ,10.0, ?490.10 ,24.505, ?514.61 ,1/27/2019,10:44,Credit card,4.761904762,24.505,4.2,,,,,,,,
149-71-6266,Bodija,Ibadan,Member,Male,Sports and travel, ?78.07 ,9.0, ?702.63 ,35.1315, ?737.76 ,1/28/2019,12:43,Cash,4.761904762,35.1315,4.5,,,,,,,,
400-89-4171,Lekki,Lagos,Normal,Female,Sports and travel, ?80.97 ,8.0, ?647.76 ,32.388, ?680.15 ,1/28/2019,13:05,Cash,4.761904762,32.388,9.3,,,,,,,,
222-42-0244,Bodija,Ibadan,Member,Female,Health and beauty, ?72.11 ,9.0, ?648.99 ,32.4495, ?681.44 ,1/28/2019,13:53,Credit card,4.761904762,32.4495,7.7,,,,,,,,
699-88-1972,Bodija,Ibadan,Normal,Male,Health and beauty, ?99.16 ,8.0, ?793.28 ,39.664, ?832.94 ,1/28/2019,17:47,Credit card,4.761904762,39.664,4.2,,,,,,,,
430-53-4718,Bodija,Ibadan,Member,Male,Health and beauty, ?75.37 ,8.0, ?602.96 ,30.148, ?633.11 ,1/28/2019,15:46,Credit card,4.761904762,30.148,8.4,,,,,,,,
746-94-0204,Central Area,Abuja,Normal,Male,Fashion accessories, ?83.24 ,9.0, ?749.16 ,37.458, ?786.62 ,1/29/2019,11:56,Credit card,4.761904762,37.458,7.4,,,,,,,,
862-17-9201,Bodija,Ibadan,Normal,Female,Food and beverages, ?84.05 ,6.0, ?504.30 ,25.215, ?529.52 ,1/29/2019,10:48,Credit card,4.761904762,25.215,7.7,,,,,,,,
137-63-5492,Lekki,Lagos,Normal,Male,Electronic accessories, ?58.76 ,10.0, ?587.60 ,29.38, ?616.98 ,1/29/2019,14:26,Ewallet,4.761904762,29.38,9.0,,,,,,,,
416-13-5917,Lekki,Lagos,Normal,Female,Food and beverages, ?97.03 ,5.0, ?485.15 ,24.2575, ?509.41 ,1/30/2019,16:24,Ewallet,4.761904762,24.2575,9.3,,,,,,,,
283-26-5248,Lekki,Lagos,Member,Female,Food and beverages, ?98.52 ,10.0, ?985.20 ,49.26," ?1,034.46 ",1/30/2019,20:23,Ewallet,4.761904762,49.26,4.5,,,,,,,,
532-59-7201,Bodija,Ibadan,Member,Male,Sports and travel, ?79.93 ,6.0, ?479.58 ,23.979, ?503.56 ,1/31/2019,14:04,Cash,4.761904762,23.979,5.5,,,,,,,,
735-32-9839,Lekki,Lagos,Member,Male,Fashion accessories, ?98.70 ,8.0, ?789.60 ,39.48, ?829.08 ,1/31/2019,10:36,Ewallet,4.761904762,39.48,8.5,,,,,,,,
525-09-8450,Bodija,Ibadan,Normal,Male,Electronic accessories, ?72.13 ,10.0, ?721.30 ,36.065, ?757.37 ,1/31/2019,15:12,Credit card,4.761904762,36.065,4.2,,,,,,,,
457-94-0464,Bodija,Ibadan,Member,Male,Electronic accessories, ?87.87 ,9.0, ?790.83 ,39.5415, ?830.37 ,1/31/2019,20:32,Ewallet,4.761904762,39.5415,5.6,,,,,,,,
189-55-2313,Lekki,Lagos,Normal,Female,Fashion accessories, ?62.18 ,10.0, ?621.80 ,31.09, ?652.89 ,1/31/2019,10:33,Ewallet,4.761904762,31.09,6.0,,,,,,,,
237-01-6122,Lekki,Lagos,Member,Female,Home and lifestyle, ?80.79 ,9.0, ?727.11 ,36.3555, ?763.47 ,2/1/2019,20:31,Credit card,4.761904762,36.3555,9.5,,,,,,,,
105-31-1824,Central Area,Abuja,Member,Male,Sports and travel, ?69.52 ,7.0, ?486.64 ,24.332, ?510.97 ,2/1/2019,15:10,Credit card,4.761904762,24.332,8.5,,,,,,,,
358-88-9262,Lekki,Lagos,Member,Female,Food and beverages, ?87.48 ,6.0, ?524.88 ,26.244, ?551.12 ,2/1/2019,18:43,Ewallet,4.761904762,26.244,5.1,,,,,,,,
376-02-8238,Bodija,Ibadan,Normal,Male,Home and lifestyle, ?93.87 ,8.0, ?750.96 ,37.548, ?788.51 ,2/2/2019,18:42,Credit card,4.761904762,37.548,8.3,,,,,,,,
541-08-3113,Lekki,Lagos,Normal,Male,Food and beverages, ?65.97 ,8.0, ?527.76 ,26.388, ?554.15 ,2/2/2019,20:29,Cash,4.761904762,26.388,8.4,,,,,,,,
326-78-5178,Lekki,Lagos,Member,Male,Food and beverages, ?91.40 ,7.0, ?639.80 ,31.99, ?671.79 ,2/3/2019,10:19,Cash,4.761904762,31.99,9.5,,,,,,,,
347-34-2234,Bodija,Ibadan,Member,Female,Sports and travel, ?55.07 ,9.0, ?495.63 ,24.7815, ?520.41 ,2/3/2019,13:40,Ewallet,4.761904762,24.7815,10.0,,,,,,,,
430-60-3493,Central Area,Abuja,Member,Female,Home and lifestyle, ?94.88 ,7.0, ?664.16 ,33.208, ?697.37 ,2/3/2019,14:38,Cash,4.761904762,33.208,4.2,,,,,,,,
718-57-9773,Lekki,Lagos,Normal,Female,Sports and travel, ?49.33 ,10.0, ?493.30 ,24.665, ?517.97 ,2/3/2019,16:40,Credit card,4.761904762,24.665,9.4,,,,,,,,
443-59-0061,Central Area,Abuja,Member,Male,Food and beverages, ?67.45 ,10.0, ?674.50 ,33.725, ?708.23 ,2/3/2019,11:25,Ewallet,4.761904762,33.725,4.2,,,,,,,,
742-04-5161,Central Area,Abuja,Member,Male,Home and lifestyle, ?72.78 ,10.0, ?727.80 ,36.39, ?764.19 ,2/3/2019,17:24,Cash,4.761904762,36.39,7.3,,,,,,,,
627-95-3243,Bodija,Ibadan,Member,Female,Home and lifestyle, ?77.68 ,9.0, ?699.12 ,34.956, ?734.08 ,2/4/2019,13:21,Ewallet,4.761904762,34.956,9.8,,,,,,,,
404-91-5964,Central Area,Abuja,Normal,Male,Electronic accessories, ?74.58 ,7.0, ?522.06 ,26.103, ?548.16 ,2/4/2019,16:09,Credit card,4.761904762,26.103,9.0,,,,,,,,
338-65-2210,Lekki,Lagos,Member,Female,Health and beauty, ?68.60 ,10.0, ?686.00 ,34.3, ?720.30 ,2/5/2019,19:57,Cash,4.761904762,34.3,9.1,,,,,,,,
210-57-1719,Bodija,Ibadan,Normal,Female,Health and beauty, ?58.24 ,9.0, ?524.16 ,26.208, ?550.37 ,2/5/2019,12:34,Cash,4.761904762,26.208,9.7,,,,,,,,
