Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Maize,1997,Rabi       ,Karnataka,48844,98932,1266.7,4648483.48,15141.64,1.98
Maize,1997,Summer     ,Karnataka,9730,20893,1266.7,926004.1,3016.3,2.165714286
Ragi,1997,Kharif     ,Karnataka,897921,1214282,1266.7,85455141.57,278355.51,1.191333333
Ragi,1997,Rabi       ,Karnataka,27104,33696,1266.7,2579487.68,8402.24,1.312222222
Ragi,1997,Summer     ,Karnataka,13521,25035,1266.7,1286793.57,4191.51,1.847777778
Rice,1997,Kharif     ,Karnataka,1031530,2340493,1266.7,98170710.1,319774.3,2.2335
Rice,1997,Rabi       ,Karnataka,53889,109350,1266.7,5128616.13,16705.59,2.073846154
Rice,1997,Summer     ,Karnataka,268044,762759,1266.7,25509747.48,83093.64,2.829444444
Sugarcane,1997,Whole Year ,Karnataka,308857,28999269,1266.7,29393920.69,95745.67,91.74736842
Turmeric,1997,Whole Year ,Karnataka,4342,24108,1266.7,413228.14,1346.02,4.452941176
Wheat,1997,Rabi       ,Karnataka,250698,118512,1266.7,23858928.66,77716.38,0.548333333
Arecanut,1997,Whole Year ,Kerala,76145,93995,3252.4,7246719.65,23604.95,1.147857143
Black pepper,1997,Whole Year ,Kerala,173855,55520,3252.4,16545780.35,53895.05,0.240714286
Cashewnut,1997,Whole Year ,Kerala,96073,74142,3252.4,9143267.41,29782.63,0.589285714
Coconut ,1997,Whole Year ,Kerala,884344,5210000000,3252.4,84163018.48,274146.64,5376.054286
Tapioca,1997,Whole Year ,Kerala,132875,2841819,3252.4,12645713.75,41191.25,22.80357143
Arecanut,1997,Whole Year ,Meghalaya,9569,12116,3818.2,910681.73,2966.39,1.245714286
Arhar/Tur,1997,Kharif     ,Meghalaya,865,683,3818.2,82322.05,268.15,0.806666667
Banana,1997,Whole Year ,Meghalaya,5239,63011,3818.2,498595.63,1624.09,11.20714286
Castor seed,1997,Rabi       ,Meghalaya,30,15,3818.2,2855.1,9.3,0.49
Cotton(lint),1997,Kharif     ,Meghalaya,7544,5590,3818.2,717962.48,2338.64,0.796666667
Dry chillies,1997,Whole Year ,Meghalaya,1766,1106,3818.2,168070.22,547.46,0.64
Ginger,1997,Kharif     ,Meghalaya,7357,45260,3818.2,700165.69,2280.67,6.054285714
Gram,1997,Rabi       ,Meghalaya,443,270,3818.2,42160.31,137.33,0.613333333
Jute,1997,Kharif     ,Meghalaya,4243,34683,3818.2,403806.31,1315.33,8.436666667
Linseed,1997,Kharif     ,Meghalaya,50,22,3818.2,4758.5,15.5,0.44
Maize,1997,Kharif     ,Meghalaya,17175,24878,3818.2,1634544.75,5324.25,1.444285714
Mesta,1997,Kharif     ,Meghalaya,4688,21558,3818.2,446156.96,1453.28,4.68
Mesta,1997,Whole Year ,Meghalaya,861,713,3818.2,81941.37,266.91,0.7525
Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909,1511,3818.2,181679.53,591.79,0.777142857
Potato,1997,Whole Year ,Meghalaya,20764,200509,3818.2,1976109.88,6436.84,8.641428571
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914,4467,3818.2,658005.38,2143.34,0.608571429
Rice,1997,Kharif     ,Meghalaya,105170,150101,3818.2,10009028.9,32602.7,1.378571429
Sesamum,1997,Kharif     ,Meghalaya,1326,688,3818.2,126195.42,411.06,0.575714286
Small millets,1997,Kharif     ,Meghalaya,2804,2237,3818.2,266856.68,869.24,0.861428571
Soyabean,1997,Kharif     ,Meghalaya,898,814,3818.2,85462.66,278.38,0.921428571
Sugarcane,1997,Whole Year ,Meghalaya,82,225,3818.2,7803.94,25.42,2.352
Sweet potato,1997,Whole Year ,Meghalaya,5212,16978,3818.2,496026.04,1615.72,3.221428571
Tapioca,1997,Whole Year ,Meghalaya,3959,21087,3818.2,376778.03,1227.29,6.537142857
Tobacco,1997,Rabi       ,Meghalaya,742,505,3818.2,70616.14,230.02,0.618
Turmeric,1997,Whole Year ,Meghalaya,1401,7126,3818.2,133333.17,434.31,5.425714286
Wheat,1997,Rabi       ,Meghalaya,4287,6894,3818.2,407993.79,1328.97,1.385
Arecanut,1997,Whole Year ,West Bengal,8058,12423,1852.9,766879.86,2497.98,1.691764706
Arhar/Tur,1997,Whole Year ,West Bengal,3630,2181,1852.9,345467.1,1125.3,0.777692308
Bajra,1997,Kharif     ,West Bengal,207,95,1852.9,19700.19,64.17,0.426666667
Barley,1997,Whole Year ,West Bengal,6116,5034,1852.9,582059.72,1895.96,1.68
Cardamom,1997,Whole Year ,West Bengal,2674,7,1852.9,254484.58,828.94,0.0
Castor seed,1997,Whole Year ,West Bengal,660,46,1852.9,62812.2,204.6,0.07
Coconut ,1997,Whole Year ,West Bengal,24273,306202300,1852.9,2310061.41,7524.63,13003.78778
Cotton(lint),1997,Kharif     ,West Bengal,26000,52000,1852.9,2474420.0,8060.0,2.0
Dry chillies,1997,Whole Year ,West Bengal,64034,55569,1852.9,6094115.78,19850.54,0.942777778
Gram,1997,Rabi       ,West Bengal,25485,16994,1852.9,2425407.45,7900.35,0.5975
Groundnut,1997,Whole Year ,West Bengal,29615,38672,1852.9,2818459.55,9180.65,1.13
Horse-gram,1997,Kharif     ,West Bengal,5645,2556,1852.9,537234.65,1749.95,0.438888889
