Title,Type,Price,Location,Country,Bedrooms,Bathrooms,Area,URL,Phone,WhatsApp Number,WhatsApp URL
villa for sale in palmhills sheikh zayed 650 meter,Villa,Ask for price,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",Egypt,5,4,650 sqm,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-al-wahat-road-palm-hills-golf-extension-4803597.html,201111984362,201111984362,https://api.whatsapp.com/send?phone=+201111984362&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+propertyhills-7355412%0AType%3A+Villa%0APrice%3A+N%2FA++%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4803597%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
"Twin house in Stei8ht New Cairo, 260m garden view",Villa,"20,000,000 EGP","Stei8ht, The 1st Settlement, New Cairo City, Cairo",Egypt,4,4,260 sqm,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-1st-settlement-stei8ht-4804839.html,201153005412,201153005412,https://api.whatsapp.com/send?phone=+201153005412&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+shahenda+730%0AType%3A+Villa%0APrice%3A+20%2C000%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804839%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Fully finished with kitchen cabinets penthouse,Penthouse,"8,000,000 EGP","Patio Casa, El Patio, El Shorouk Compounds, Shorouk City, Cairo",Egypt,4,4,130 sqm,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-shorouk-city-el-shorouk-compounds-el-patio-patio-casa-4805527.html,201000092827,201000092827,https://api.whatsapp.com/send?phone=+201000092827&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+newLVA01%0AType%3A+Penthouse%0APrice%3A+8%2C000%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4805527%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Townhouse with Lowest Down Payment Installment 8 Y,Townhouse,"26,500,000 EGP","Solana, New Zayed City, Sheikh Zayed City, Giza",Egypt,3,3,210 sqm,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-sheikh-zayed-city-new-zayed-city-solana-4804289.html,201026555627,201026555627,https://api.whatsapp.com/send?phone=+201026555627&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+SOLANA_2_24%0AType%3A+Townhouse%0APrice%3A+26%2C500%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804289%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Distinctive apartment with an area of ​​​​137 square meters in the middle plateau,Apartment,"2,008,000 EGP","Una Compound, Al Hadaba Al Wosta, Mokattam, Cairo",Egypt,3,2,137 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mokattam-al-hadaba-al-wosta-una-compound-4733870.html,20221257396,20221257340,https://api.whatsapp.com/send?phone=+20221257340&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+elandalus-7133201%0AType%3A+Apartment%0APrice%3A+2%2C008%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4733870%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
امتلك فيلا تاون 284م بحديقة خاصة بمشروع فيلات فقط,Apartment,"16,500,000 EGP","La Verde, New Capital Compounds, New Capital City, Cairo",Egypt,4,3,284 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-la-verde-4773284.html,19835,20221257340,https://api.whatsapp.com/send?phone=+20221257340&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+la-verde-developments-6708850%0AType%3A+Apartment%0APrice%3A+16%2C500%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4773284%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
"Apartment 202m for sale in o west, fully finished,",Apartment,"12,000,000 EGP","O West, 6 October Compounds, 6 October City, Giza",Egypt,3,2,202 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-o-west-4804275.html,201001136949,201070783316,https://api.whatsapp.com/send?phone=+201070783316&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+home-valley-7325638%0AType%3A+Apartment%0APrice%3A+12%2C000%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804275%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Own Ivilla 235 sqm at MV ICITY very prime location,Duplex,"5,192,000 EGP","Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Egypt,3,2,235 sqm,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-4804709.html,201153154073,201153154073,https://api.whatsapp.com/send?phone=+201153154073&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+A-227%0AType%3A+Duplex%0APrice%3A+5%2C192%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804709%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
"dp3million,lowest price villa in new cairo 9y inst",Villa,"30,000,000 EGP","Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Egypt,4,4,255 sqm,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-4804551.html,20221256924,201000258170,https://api.whatsapp.com/send?phone=+201000258170&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+AEN-599%0AType%3A+Villa%0APrice%3A+30%2C000%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804551%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Twin house for sale in La vista Ras El Hikma,Twin House,"16,999,999 EGP","La vista Ras El Hikma, Ras Al Hekma, North Coast",Egypt,4,4,220 sqm,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-north-coast-ras-al-hekma-la-vista-ras-el-hikma-4804004.html,20221257382,201019795500,https://api.whatsapp.com/send?phone=+201019795500&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+X+%2340555%0AType%3A+Twin+House%0APrice%3A+16%2C999%2C999+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804004%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Apartment 3 Bedrooms Prime Price Finished in VGK,Apartment,"9,700,000 EGP","Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Egypt,3,2,176 sqm,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-village-gardens-katameya-4805589.html,201060007985,20221257340,https://api.whatsapp.com/send?phone=+20221257340&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+RH-1%0AType%3A+Apartment%0APrice%3A+9%2C700%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4805589%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
Villa New Launch Mountain view ICITY October,iVilla,"10,800,000 EGP","Mountain View iCity October, 6 October Compounds, 6 October City, Giza",Egypt,5,3,295 sqm,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-4804560.html,201144828252,20221257340,https://api.whatsapp.com/send?phone=+20221257340&text=Hello%2C%0AI+would+like+to+get+more+information+about+this+property+you+posted+on+propertyfinder.eg%0A+%0AReference%3A+MTTQQQ%0AType%3A+iVilla%0APrice%3A+10%2C800%2C000+EGP+%0ALocation%3A++%0ALink%3A+https%3A%2F%2Fwww.propertyfinder.eg%2Fto%2F4804560%2Fen+%0A+%0AAny+changes+made+to+this+message+will+result+in+the+enquiry+not+being+sent+to+the+agent.
