id,tokens,labels
TR-11,"['In' 'this' 'context' ',' 'the' 'combination' 'of' 'Forward' 'Error'
 'Correction' '(' 'FEC' ')' 'and' 'Unequal' 'Error' 'Protection' '(' 'UEP'
 ')' 'approaches' 'is' 'known' 'to' 'provide' 'the' 'distribution' 'of'
 'video' 'applications' 'for' 'wireless' 'users' 'with' 'Quality' 'of'
 'Experience' '(' 'QoE' ')' 'assurance' '.']","[4 4 4 4 4 4 4 0 2 2 4 1 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 2 2
 4 1 4 4 4]"
TR-12,"['Inspired' 'by' 'recent' 'advances' 'in' 'Generative' 'Adversarial'
 'Networks' '(' 'GANs' ')' ',' 'we' 'developed' 'an' 'algorithm' 'for'
 'domain' 'adaptation' 'for' 'aerial' 'imagery' 'based' 'on' 'GANs' '.']",[4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-13,"['For' 'GT' ',' 'arrows' 'in' 'are' 'DPOs' 'with' 'being' 'the'
 'projection' ',' 'but' 'we' 'need' 'to' 'show' 'that' 'DPOs' 'are'
 'composable' '-' 'it' 'may' 'turn' 'out' 'a' 'hassle' 'as' 'we' 'will'
 'face' 'interaction' 'between' 'PBs' 'and' 'POs' ',' 'but' 'I' 'hope'
 'that' 'nice' 'features' 'of' 'adhesive' 'cats' 'would' 'make' 'it'
 'more' 'or' 'less' 'doable' '.']","[4 1 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 1
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]"
TR-14,"['We' 'first' 'show' 'through' 'simulation' 'that' 'the' 'channel' 'state'
 'information' '(' 'CSI' ')' 'of' 'geographically' 'separated' 'base'
 'stations' '(' 'BSs' ')' 'exhibits' 'strong' 'non' '-' 'linear'
 'correlations' 'in' 'terms' 'of' 'mutual' 'information' '.']",[4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 0 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-15,"['Wrapper' 'Subset' 'Evaluator' '(' 'WSE' ')' 'looks' 'for' 'attributes'
 'along' '-' 'with' 'the' 'given' 'classifier' '.']",[0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4]
TR-16,"['Measurement' 'values' 'are' 'generated' 'using' 'the' 'AC' 'power'
 'flow' 'analysis' ',' 'additionally' 'corrupted' 'by' 'Gaussian' 'white'
 'noise' 'of' 'variance' '.']",[4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-17,"['Given' 'an' 'FSP' 'model' ',' 'the' 'LTSA' 'tool' 'generates' 'an'
 'executable' 'Labeled' 'Transition' 'System' '(' 'LTS' ')' 'suitable'
 'for' 'automated' 'analysis' 'and' 'animation' '.']",[4 4 1 4 4 4 1 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4]
TR-18,"['In' 'an' 'efficient' 'method' 'called' 'Variable' 'Markov' 'Oracle' '('
 'VMO' ')' 'is' 'proposed' 'for' 'estimating' 'IR' '.']",[4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4]
TR-19,"['The' 'MgNB' 'establishes' 'a' 'control' 'interface' 'to' 'the' 'core'
 'network' '(' 'CN' ')' ',' 'while' 'both' 'the' 'MgNB' 'and' 'the' 'SgNB'
 'manage' 'the' 'radio' 'resource' 'control' '(' 'RRC' ')' 'in' 'the' 'UE'
 '.']",[4 1 4 4 4 4 4 4 0 2 4 1 4 4 4 4 4 1 4 4 1 4 4 0 2 2 4 1 4 4 4 1 4]
TR-20,"['If' 'the' 'entity' 'pairs' 'of' 'two' 'triplets' 'are' 'identical' 'but'
 'the' 'relations' 'are' 'different' ',' 'the' 'sentence' 'will' 'be'
 'added' 'to' 'the' 'EPO' 'set' '.']",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4]
TR-21,"['Various' 'metrics' 'like' 'Code' '-' 'Mixed' 'Index' '(' 'CMI' ')' ','
 'Code' '-' 'Mixed' 'Factor' '(' 'CF' ')' 'along' 'with' 'various'
 'aspects' '(' 'language' 'and' 'emotion' ')' 'also' 'qualitatively'
 'polled' 'the' 'code' '-' 'mixed' 'and' 'sentiment' 'properties' 'of'
 'the' 'corpus' '.']","[4 4 4 0 2 2 2 4 1 4 4 0 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4]"
TR-22,"['train' 'a' 'convolutional' 'neural' 'network' '(' 'CNN' ')' 'to'
 'predict' 'the' 'camera' 'location' 'based' 'on' 'a' 'semantic'
 'segmentation' 'of' 'the' 'building' 'facades' 'in' 'input' 'images' '.']",[4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-23,"['Another' 'algorithm' 'called' 'Classification' 'and' 'regression'
 'trees' '(' 'CART' ')' 'proposed' 'by' 'Leo' 'Breiman' 'produces'
 'either' 'classification' 'or' 'regression' 'binary' 'trees' ','
 'depending' 'on' 'whether' 'the' 'dependent' 'variable' 'is'
 'categorical' 'or' 'numeric' ',' 'respectively' '.']",[4 4 4 0 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-24,"['In' 'our' 'present' 'study' ',' 'we' 'have' 'employed' 'the'
 'classification' 'method' 'of' 'Functional' 'Link' 'Artificial' 'Neural'
 'Network' '(' 'FLANN' ')' '.']",[4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 2 2 4 1 4 4]
TR-25,"['Our' 'model' 'is' 'an' 'end' 'to' 'end' 'framework' 'which' 'consists'
 'of' 'a' 'convolutional' 'neural' 'network' '(' 'CNN' ')' 'whose'
 'output' 'is' 'fanned' 'out' 'into' 'two' 'separate' 'branches' ';' 'the'
 'first' 'branch' 'predicts' 'facial' 'attributes' 'while' 'the' 'second'
 'branch' 'identifies' 'face' 'images' '.']","[4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4]"
TR-26,"['Model' '2' ',' 'similar' 'to' 'model' '1' ',' 'has' 'a' 'multiple'
 'input' 'single' 'output' '(' 'A' '-' 'MISO' ')' 'structure' '.']",[4 4 4 4 4 4 4 4 4 4 0 2 2 2 4 4 4 1 4 4 4]
TR-27,"['Within' 'the' 'perspective' 'of' 'research' 'on' 'Intrinsically'
 'Motivated' 'Goal' 'Exploration' 'started' 'a' 'decade' 'ago' ',' 'and'
 'considering' 'the' 'fundamental' 'problem' 'of' 'how' 'AI' 'agents'
 'can' 'autonomously' 'explore' 'environments' 'and' 'skills' 'by'
 'setting' 'their' 'own' 'goals' ',' 'this' 'new' 'architecture'
 'constitutes' 'a' 'milestone' 'as' 'it' 'is' 'to' 'our' 'knowledge' 'the'
 'first' 'goal' 'exploration' 'architecture' 'where' 'the' 'goal' 'space'
 'representation' 'is' 'learned' ',' 'as' 'opposed' 'to' 'hand' '-'
 'crafted' '.']","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]"
TR-28,"['The' 'bandwidth' 'of' 'this' 'low' '-' 'pass' 'analysis' 'is' 'chosen'
 'in' 'such' 'a' 'way' 'that' 'it' 'covers' 'reasonable' 'sizes' 'of'
 'rooms' 'and' 'removes' 'the' 'false' 'modes' 'that' 'can' 'appear'
 'below' 'the' 'first' 'mode' 'in' 'RTF' '.']",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4]
TR-29,"['We' 'use' 'the' 'Gramian' 'Angular' 'Field' '(' 'GAF' ')' 'to' 'encode'
 'the' 'time' 'series' 'data' '.']",[4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4]
TR-30,"['The' 'US' 'Support' 'plugin' 'communicates' 'with' 'the'
 'USHardwareDiPhAS' 'sub' '-' 'module' 'through' 'an' 'instance' 'of'
 'its' 'Device' 'subclass' ',' 'which' 'it' 'accesses' 'through' 'MITK'
 ""'s"" 'micro' 'service' 'functionality' ';' 'through' 'micro' 'services'
 ',' 'a' 'module' 'is' 'able' 'to' 'register' 'as' 'a' 'specific'
 'service' ',' 'which' 'can' 'be' 'then' 'requested' 'by' 'other'
 'modules' 'or' 'plugins' '.']","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]"
TR-31,"['In' 'this' 'case' ',' 'the' 'average' 'running' 'time' 'for' 'RK' 'is'
 'always' 'approximatively' '420' 'seconds' ',' 'while' 'for' 'IA' 'it'
 'ranges' 'from' '0.02' 'seconds' '(' 'for' 'a' 'single' 'edge' 'update'
 ')' 'to' '6.2' 'seconds' '(' 'for' 'a' 'batch' 'of' '1024' 'edges' ')'
 '.']","[4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4]"
TR-32,"['We' 'present' 'an' 'integer' 'linear' 'programming' '(' 'ILP' ')'
 'formulation' 'for' 'optimal' 'data' 'placement' 'in' 'RMs' ',' 'and'
 'revisit' 'existing' 'offset' 'assignment' 'heuristics' ',' 'originally'
 'proposed' 'for' 'random' '-' 'access' 'memories' '.']",[4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-33,"['Consider' 'an' 'agent' 'embedding' 'a' 'Recurrent' 'Neural' 'Network'
 '(' 'RNN' ')' '-' 'with' 'internal' 'state' '-' 'modeling' 'a' 'policy'
 '.']",[4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4 4]
TR-34,"['miao2016neural' 'proposed' 'the' 'Neural' 'Variational' 'Document'
 'Model' '(' 'NVDM' ')' ',' 'which' 'extended' 'the' 'standard' 'VAE'
 'with' 'multinomial' 'likelihood' 'for' 'document' 'modelling' 'and'
 'further' 'built' 'a' 'VAE' 'to' 'generate' 'the' 'document' '-' 'topic'
 'distributions' 'in' 'the' 'LDA' 'framework' '.']","[4 4 4 0 2 2 2 4 1 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 1
 4 4]"
TR-35,"['Consider' 'the' 'problem' 'of' 'automatically' 'identifying' 'patients'
 'who' 'suffer' 'from' 'a' 'certain' 'ailment' ',' 'based' 'on'
 'detection' 'of' 'certain' 'abnormalities' 'in' 'medical' 'images'
 'acquired' 'through' 'any' 'appropriate' 'modality' '(' 'X' '-' 'ray' ','
 'CT' ',' 'MRI' ',' 'microscopy' 'etc' '.' ')' '.']","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 1 4
 4 4 4 4 4]"
TR-36,['China' 'Standard' 'Time' '(' 'CST' ')' 'is' 'UTC+08:00' '.'],[0 2 2 4 1 4 4 1 4]
TR-37,"['From' 'simulation' 'results' 'and' 'analysis' ',' 'the' 'four' 'TAS'
 'schemes' 'have' 'an' 'decreasing' 'order' ':' 'Max' '-' 'SR' ','
 'leakage' '-' 'based' ',' 'generalized' 'EDAS' ',' 'and' 'random' '('
 'conventional' ')' ',' 'in' 'terms' 'of' 'SR' 'performance' '.']","[4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4
 4]"
TR-38,"['Compatibility' ':' 'An' 'AANET' 'is' 'capable' 'of' 'supporting'
 'direct' 'A2A' 'communication' 'among' 'aircraft' 'without' 'the'
 'assistance' 'of' 'GS' '/' 'satellites' 'and' 'ATC' ',' 'which' 'reduces'
 'the' 'tele' '-' 'traffic' 'pressure' 'imposed' 'on' 'them' 'and'
 'significantly' 'reduces' 'the' 'latency' 'of' 'critical' '-' 'mission'
 'communication' 'as' 'well' '.']","[4 4 4 1 4 4 4 4 4 1 4 4 4 4 4 4 4 1 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4]"
TR-39,"['Note' 'that' 'RSSI' 'stands' 'for' 'Received' 'Signal' 'Strength'
 'Indicator' 'and' 'is' 'used' 'as' 'a' 'link' 'quality' 'estimator' 'in'
 'wireless' 'communication' 'and' 'also' 'used' 'to' 'estimate' 'the'
 'distance' 'between' 'two' 'nodes' '.']",[4 4 1 4 4 0 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-40,"['Then' ',' 'we' 'make' 'comparisons' 'among' 'the' 'three' 'networks' ','
 'NN' ',' 'NN' 'and' 'NN' ',' 'by' 'examining' 'in' '-' 'campaign' 'and'
 'cross' '-' 'campaign' 'performance' '.']",[4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-41,"['exploited' 'Iterative' 'Straight' '-' 'line' 'Hough' 'Transform' '('
 'ISHT' ')' 'and' 'Modified' 'Randomized' 'Hough' 'Transform' '(' 'MRHT'
 ')' '.']",[4 0 2 2 2 2 2 4 1 4 4 0 2 2 2 4 1 4 4]
TR-42,"['So' 'far' ',' 'crime' 'prevention' 'through' 'environmental' 'design'
 '(' 'CPTED' ')' 'has' 'concentrated' 'mostly' 'on' 'the' 'attributes'
 'of' 'the' 'built' 'environment' '(' 'e.g.' 'lightning' ',' 'visibility'
 ',' 'access' 'and' 'height' 'of' 'buildings' ')' 'and' 'less' 'so' 'on'
 'the' 'the' 'human' 'activity' 'that' 'will' 'be' 'generated' 'within'
 'the' 'new' 'created' 'space' '.']","[4 4 4 0 2 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4]"
TR-43,"['To' 'face' 'the' 'challenge' 'of' 'uncertainty' 'propagation' ',' 'the'
 'interval' 'analysis' '(' 'IA' ')' 'method' 'was' 'proposed' 'and' 'can'
 'obtain' 'the' 'worst' '-' 'case' 'lower' 'and' 'upper' 'bounds' 'of'
 'variables' '.']",[4 4 4 4 4 4 4 4 4 0 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-44,"['Our' 'approach' 'is' 'successfully' 'applied' 'to' 'common' 'RS'
 'images' 'with' 'two' 'representative' 'state' 'of' 'the' 'art' 'deep'
 'nets' '.']",[4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4]
TR-45,"['A' 'particularly' 'relevant' 'recent' 'work' 'is' 'a' 'combination' 'of'
 'Neural' 'Networks' '(' 'NN' ')' 'and' 'Rolling' 'Horizon' 'Evolutionary'
 'Algorithms' '(' 'RHEA' ')' 'applied' 'to' 'a' 'series' 'of' 'MuJoCo'
 'control' 'tasks' '.']",[4 4 4 4 4 4 4 4 4 0 2 4 1 4 4 0 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4]
TR-46,"['From' 'the' 'results' 'in' 'Table' ',' 'we' 'can' 'see' 'that' 'our'
 'conditional' 'invariant' 'domain' 'generalization' '(' 'CIDG' ')'
 'performs' 'the' 'best' 'on' '9' 'of' 'the' '10' 'domain'
 'generalization' 'tasks' '.']",[4 4 4 4 4 4 4 4 4 4 4 0 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-47,"['Our' 'proposed' 'approach' 'takes' 'an' 'innovative' 'formulation'
 'with' 'respect' 'to' 'previous' 'work' 'relying' 'on' 'domain'
 'adversarial' 'neural' 'network' '(' 'DANN' ')' '.']",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 2 4 1 4 4]
TR-48,"['In' 'this' 'line' 'of' 'research' ',' 'is' 'the' 'only' 'learning' '-'
 'based' 'power' 'grid' 'synthesis' '(' 'PGS' ')' 'model' 'presented' 'in'
 'recent' 'literature' 'that' 'applies' 'a' 'Gaussian' 'Mixture' 'Model'
 '(' 'GMM' ')' 'to' 'compute' 'the' 'distributions' 'of' 'bus' 'locations'
 'in' 'the' 'Western' 'Interconnect' 'network' '.']","[4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4
 4 4 4 4 4 4 4 4]"
TR-49,"['It' 'is' 'a' 'C' 'library' 'that' 'finds' 'the' 'minimum' 'values' 'of'
 'large' 'quadratic' 'unconstrained' 'binary' 'optimization' '(' 'QUBO'
 ')' 'problems' '.']",[4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 2 4 1 4 4 4]
TR-50,"['ICAO' 'Phraseology2132' ',' 'c' 's' 'd' 'g' 'is' 'controlled' 'language'
 'for' 'air' 'traffic' 'control' 'defined' 'by' 'the' 'International'
 'Civil' 'Aviation' 'Organisation' '(' 'ICAO' ')' 'in' 'the' '1980s' 'or'
 'even' 'earlier' '.']",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 2 4 1 4 4 4 4 4 4 4 4]
TR-51,"['Our' 'findings' 'report' 'that' 'CodeRank' 'is' 'a' 'more' 'effective'
 'term' 'weighting' 'method' 'than' 'the' 'traditional' 'methods' '(' 'TF'
 ',' 'TF' '-' 'IDF' ')' 'for' 'search' 'query' 'reformulation' 'in' 'the'
 'context' 'of' 'source' 'code' '.']",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 1 4 1 4 4 4 4 4 4 4 4 4 4 4 4]
TR-52,"['In' 'this' 'paper' 'we' 'explore' 'the' 'parallel' 'capabilities' 'of'
 'modern' 'General' 'Purpose' 'Graphics' 'Processing' 'Units' '(' 'GPGPU'
 ')' 'applications' 'for' 'high' 'speed' 'pattern' 'matching' '.']",[4 4 4 4 4 4 4 4 4 4 0 2 2 2 2 4 1 4 4 4 4 4 4 4 4]
TR-53,"['Batch' 'normalization' '(' 'BN' ')' 'is' 'a' 'widely' 'used' 'technique'
 'to' 'improve' 'neural' 'network' 'training' 'by' 'normalizing'
 'activations' 'throughout' 'the' 'network' 'with' 'respect' 'to' 'each'
 'mini' '-' 'batch' '.']",[0 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-54,"['schulman2015' 'propose' 'the' 'Trust' 'Region' 'Policy' 'Optimization'
 '(' 'TRPO' ')' ',' 'which' 'is' 'effective' 'for' 'optimizing' 'large'
 'nonlinear' 'policies' 'and' 'demonstrates' 'robust' 'performance' 'on'
 'a' 'wide' 'variety' 'of' 'robotic' 'tasks' '.']",[4 4 4 0 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-55,"['We' 'will' 'also' 'consider' 'deterministic' 'normalization'
 'techniques' ',' 'that' 'do' 'not' 'depend' 'on' 'the' 'selection' 'of'
 'random' 'batches' ':' 'weight' 'normalization' '(' 'WN' ')' 'and'
 'analytic' 'normalization' '.']",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 2 4 1 4 4 4 4 4]
TR-56,"['Finally' ',' 'in' 'Case' 'III' ',' 'while' 'the' 'same' 'CSI'
 'assumption' 'as' 'in' 'Case' 'II' 'are' 'made' ',' 'an' 'optimal'
 'relay' 'selection' 'scheme' 'is' 'implemented' ',' 'whereby' 'the'
 'relay' 'that' 'achieves' 'the' 'maximum' 'secrecy' 'rate' 'is' 'chosen'
 'for' 'retransmission' '.']","[4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4]"
TR-57,"['As' 'such' ',' 'it' 'may' 'be' 'useful' 'to' 'define' 'a' 'PMF' 'from'
 'the' 'canon' 'of' 'discrete' 'probability' 'mass' 'functions' '.']",[4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 0 2 2 4]
TR-58,"['As' 'a' 'result' ',' 'BS' 'calculates' 'the' 'optimal' 'load' 'vector'
 'and' 'power' 'vector' 'by' 'solving' 'Problem' '(' ')' '.']",[4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-59,"['The' 'subjective' 'quality' 'index' 'used' 'in' 'the' 'LIVE' 'IQA'
 'survey' 'is' 'the' 'Differential' 'Mean' 'Opinion' 'Scores' '(' 'DMOS'
 ')' 'with' 'values' 'between' '0' 'and' '100' ',' 'where' '0' 'values'
 'indicates' 'the' 'highest' 'quality' '.']",[4 4 4 4 4 4 4 1 3 4 4 4 0 2 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
TR-60,"['While' 'adversarial' 'training' 'requires' 'access' 'to' 'ground'
 'truth' 'labels' 'to' 'perform' 'adversarial' 'perturbations' ',' 'the'
 'Virtual' 'Adversarial' 'Training' '(' 'VAT' ')' 'mechanism' 'proposed'
 'by' 'Miyato' 'et' 'al' '.' '(']",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4]
TR-61,"['Both' 'UC2' 'and' 'UC3' 'can' 'also' 'be' 'considered' 'CB'
 'recommenders' '.']",[4 1 4 1 4 4 4 4 1 4 4]
TR-62,"['ID' 'refers' 'to' 'Item' 'Description' 'based' 'word2vec' 'embeddings'
 'directly' 'used' 'to' 'generate' 'recommendations' '.']",[1 4 4 0 2 4 4 4 4 4 4 4 4 4]
TR-63,"['The' 'main' 'goal' 'of' 'this' 'project' 'is' 'to' 'anchor' 'and'
 'compare' 'discourse' 'signals' 'across' 'genres' ',' 'which' 'makes'
 'the' 'Georgetown' 'University' 'Multilayer' '(' 'GUM' ')' 'corpus' 'the'
 'optimal' 'candidate' ',' 'in' 'that' 'it' 'consists' 'of' 'eight'
 'genres' 'including' 'interviews' ',' 'news' 'stories' ',' 'travel'
 'guides' ',' 'how' '-' 'to' 'guides' ',' 'academic' 'papers' ','
 'biographies' ',' 'fiction' ',' 'and' 'forum' 'discussions' '.']","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]"
TR-64,"['Particularly' ',' 'radio' 'frequency' '(' 'RF' ')' 'signals' 'are'
 'used' 'as' 'energy' 'sources' 'for' 'energy' 'harvesting' '(' 'EH' ')'
 '.']",[4 4 0 2 4 1 4 4 4 4 4 4 4 4 0 2 4 1 4 4]
TR-65,"['As' 'in' 'these' 'other' 'policy' 'domains' ',' 'we' 'expect' 'the'
 'public' 'to' 'become' 'more' 'influential' 'over' 'time' 'in'
 'impacting' 'AI' 'policy' '.']",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4]
TR-66,"['This' 'idea' 'has' 'led' 'to' 'the' 'Relation' 'Based' 'Pattern' '('
 'RBP' ')' 'model' 'that' 'we' 'introduce' 'in' 'the' 'next' 'section'
 'and' 'then' 'evaluate' 'with' 'respect' 'to' 'its' 'effect' 'on' 'both'
 'abstract' 'and' 'concrete' 'pattern' 'learning' '.']",[4 4 4 4 4 4 0 2 2 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
