concept_set_idx,concepts,target
27,['herd' 'dog' 'sheep'],A dog herds a sheep.
27,['herd' 'dog' 'sheep'],A dog is herding sheep.
27,['herd' 'dog' 'sheep'],The dogs are herding sheep.
28,['boat' 'sit' 'beach'],boats sitting on the beach
28,['boat' 'sit' 'beach'],a boat is sitting up on a beach
28,['boat' 'sit' 'beach'],Pelicans sit on a blue boat at the beach.
29,['train' 'come' 'station'],a train coming into station
29,['train' 'come' 'station'],tube train comes to station .
29,['train' 'come' 'station'],train coming in to the station
30,['float' 'sky' 'cloud'],clouds floating in the sky
30,['float' 'sky' 'cloud'],clouds float through a blue sky
30,['float' 'sky' 'cloud'],shot of clouds that float across the sky
31,['eat' 'grass' 'elephant'],elephants pulling grass to eat .
31,['eat' 'grass' 'elephant'],An elephant is eating grass in Kenya.
31,['eat' 'grass' 'elephant'],a bunch of elephants are eating grass
32,['family' 'time' 'spend'],family spend time in the park
32,['family' 'time' 'spend'],spending time with the family
32,['family' 'time' 'spend'],family spend time at a holidays
33,['wall' 'tile' 'bathroom'],black walls and tiles in the bathroom
