Speaker ID,Gender,Number of Words,Word ID,Pronunciation,Path
14,Boy,100,79,Right,ASMDD/speaker_14_b_100/79.wav
14,Boy,100,96,Right,ASMDD/speaker_14_b_100/96.wav
14,Boy,100,99,Right,ASMDD/speaker_14_b_100/99.wav
14,Boy,100,58,Right,ASMDD/speaker_14_b_100/58.wav
14,Boy,100,63,Right,ASMDD/speaker_14_b_100/63.wav
14,Boy,100,89,Right,ASMDD/speaker_14_b_100/89.wav
14,Boy,100,97,Right,ASMDD/speaker_14_b_100/97.wav
14,Boy,100,86,Right,ASMDD/speaker_14_b_100/86.wav
14,Boy,100,61,Right,ASMDD/speaker_14_b_100/61.wav
14,Boy,100,71,Right,ASMDD/speaker_14_b_100/71.wav
14,Boy,100,77,Right,ASMDD/speaker_14_b_100/77.wav
14,Boy,100,76,Right,ASMDD/speaker_14_b_100/76.wav
14,Boy,100,66,Right,ASMDD/speaker_14_b_100/66.wav
14,Boy,100,91,Right,ASMDD/speaker_14_b_100/91.wav
14,Boy,100,69,Right,ASMDD/speaker_14_b_100/69.wav
14,Boy,100,78,Right,ASMDD/speaker_14_b_100/78.wav
14,Boy,100,74,Right,ASMDD/speaker_14_b_100/74.wav
14,Boy,100,84,Right,ASMDD/speaker_14_b_100/84.wav
14,Boy,100,81,Right,ASMDD/speaker_14_b_100/81.wav
14,Boy,100,85,Right,ASMDD/speaker_14_b_100/85.wav
14,Boy,100,73,Right,ASMDD/speaker_14_b_100/73.wav
14,Boy,100,80,Right,ASMDD/speaker_14_b_100/80.wav
14,Boy,100,92,Right,ASMDD/speaker_14_b_100/92.wav
14,Boy,100,62,Right,ASMDD/speaker_14_b_100/62.wav
14,Boy,100,94,Right,ASMDD/speaker_14_b_100/94.wav
14,Boy,100,67,Right,ASMDD/speaker_14_b_100/67.wav
14,Boy,100,65,Right,ASMDD/speaker_14_b_100/65.wav
14,Boy,100,88,Right,ASMDD/speaker_14_b_100/88.wav
14,Boy,100,90,Right,ASMDD/speaker_14_b_100/90.wav
14,Boy,100,59,Right,ASMDD/speaker_14_b_100/59.wav
14,Boy,100,72,Right,ASMDD/speaker_14_b_100/72.wav
14,Boy,100,82,Right,ASMDD/speaker_14_b_100/82.wav
14,Boy,100,64,Right,ASMDD/speaker_14_b_100/64.wav
14,Boy,100,98,Right,ASMDD/speaker_14_b_100/98.wav
14,Boy,100,100,Right,ASMDD/speaker_14_b_100/100.wav
14,Boy,100,60,Right,ASMDD/speaker_14_b_100/60.wav
14,Boy,100,68,Right,ASMDD/speaker_14_b_100/68.wav
14,Boy,100,87,Right,ASMDD/speaker_14_b_100/87.wav
14,Boy,100,5,Wrong,ASMDD/speaker_14_b_100/5_N.wav
14,Boy,100,12,Wrong,ASMDD/speaker_14_b_100/12_N.wav
14,Boy,100,36,Right,ASMDD/speaker_14_b_100/36.wav
14,Boy,100,35,Right,ASMDD/speaker_14_b_100/35.wav
14,Boy,100,47,Wrong,ASMDD/speaker_14_b_100/47_N.wav
14,Boy,100,48,Wrong,ASMDD/speaker_14_b_100/48_N.wav
14,Boy,100,50,Wrong,ASMDD/speaker_14_b_100/50_N.wav
14,Boy,100,83,Wrong,ASMDD/speaker_14_b_100/83_N.wav
14,Boy,100,93,Wrong,ASMDD/speaker_14_b_100/93_N.wav
14,Boy,100,95,Wrong,ASMDD/speaker_14_b_100/95_N.wav
14,Boy,100,1,Wrong,ASMDD/speaker_14_b_100/1_N.wav
