Unnamed: 0,path,crop,croplabel
83,/kaggle/input/kag2/sugarcane/sugarcane0001ahs.jpeg,sugarcane,3
84,/kaggle/input/kag2/sugarcane/sugarcane029a.jpeg,sugarcane,3
85,/kaggle/input/kag2/sugarcane/sugarcane019a.jpeg,sugarcane,3
86,/kaggle/input/kag2/sugarcane/sugarcane038arot.jpeg,sugarcane,3
87,/kaggle/input/kag2/sugarcane/sugarcane026arot.jpeg,sugarcane,3
88,/kaggle/input/kag2/sugarcane/sugarcane031ahf.jpeg,sugarcane,3
89,/kaggle/input/kag2/sugarcane/sugarcane0003a.jpeg,sugarcane,3
90,/kaggle/input/kag2/sugarcane/sugarcane018ahs.jpeg,sugarcane,3
91,/kaggle/input/kag2/sugarcane/sugarcane033ahs.jpeg,sugarcane,3
92,/kaggle/input/kag2/sugarcane/sugarcane026ahf.jpeg,sugarcane,3
93,/kaggle/input/kag2/sugarcane/sugarcane008a.jpeg,sugarcane,3
94,/kaggle/input/kag2/sugarcane/sugarcane014ahs.jpeg,sugarcane,3
95,/kaggle/input/kag2/sugarcane/sugarcane032ahs.jpeg,sugarcane,3
96,/kaggle/input/kag2/sugarcane/sugarcane012ahs.jpeg,sugarcane,3
97,/kaggle/input/kag2/sugarcane/sugarcane0002ahf.jpeg,sugarcane,3
98,/kaggle/input/kag2/sugarcane/sugarcane029ahf.jpeg,sugarcane,3
99,/kaggle/input/kag2/sugarcane/sugarcane037arot.jpeg,sugarcane,3
